"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.091145","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3028, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"6","0.115476","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3030, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"8","0.171006","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3031, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"9","0.186958","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3032, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"10","0.191841","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3033, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"11","0.200104","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3035, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"15","0.287535","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3037, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"16","0.308161","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3039, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"18","0.322714","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3040, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"19","0.331856","Ubiquiti_3b:5c:ed","Google_db:81:6f","802.11","227","Probe Response, SN=3041, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"24","0.531563","Cisco_2f:15:53","82:11:5a:9b:20:20","802.11","294","Probe Response, SN=1442, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"28","0.675245","Ubiquiti_3b:5c:ed","7a:c5:52:a8:7d:81","802.11","227","Probe Response, SN=3045, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"33","0.851932","Cisco_2f:15:53","HuaweiTe_a8:1e:05","802.11","294","Probe Response, SN=1455, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"39","1.058682","Ubiquiti_3b:5c:ed","da:3a:d1:ea:9d:5a","802.11","227","Probe Response, SN=3054, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"42","1.186761","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3056, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"43","1.205501","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3057, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"46","1.269317","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3060, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"50","1.314111","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3061, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"52","1.358017","Ubiquiti_3b:5c:ed","5e:2d:f5:6c:3e:6c","802.11","227","Probe Response, SN=3063, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"67","1.805112","Cisco_2f:15:53","be:e2:05:2e:62:d5","802.11","294","Probe Response, SN=1465, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"72","2.055289","Ubiquiti_3b:5c:ed","aa:8b:cc:4b:c8:03","802.11","227","Probe Response, SN=3074, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"75","2.183667","Cisco_2f:15:53","Google_fd:7f:c4","802.11","294","Probe Response, SN=1478, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"76","2.188931","Cisco_2f:15:53","Google_fd:7f:c4","802.11","294","Probe Response, SN=1478, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"78","2.219449","Cisco_2f:15:54","Apple_96:22:60","802.11","274","Probe Response, SN=1479, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"84","2.470952","Ubiquiti_3b:5c:ed","Apple_de:27:15","802.11","227","Probe Response, SN=3081, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"96","2.964539","ArubaaHe_58:77:62","2a:f4:22:8f:39:5c","802.11","183","Probe Response, SN=1235, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"98","3.055584","Cisco_2f:15:54","8a:ed:f9:6b:a3:6d","802.11","274","Probe Response, SN=1496, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"101","3.140489","Ubiquiti_3b:5c:ed","ca:1d:e4:12:44:17","802.11","227","Probe Response, SN=3090, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"103","3.155926","Cisco_2f:15:54","7a:3d:7a:86:40:9b","802.11","274","Probe Response, SN=1500, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"105","3.226559","Cisco_2f:15:53","ca:1a:36:33:70:ed","802.11","294","Probe Response, SN=1503, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"106","3.245754","Cisco_2f:15:53","ca:1a:36:33:70:ed","802.11","294","Probe Response, SN=1503, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"108","3.283864","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3094, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"109","3.308528","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3095, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"112","3.332315","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3096, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"114","3.344457","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3097, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"115","3.370609","Ubiquiti_3b:5c:ed","42:6b:59:44:81:95","802.11","227","Probe Response, SN=3098, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"125","3.655780","Ubiquiti_3b:5c:ed","b6:4e:29:21:e6:68","802.11","227","Probe Response, SN=3102, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"127","3.704433","Ubiquiti_3b:5c:ed","be:1a:f7:c3:b6:09","802.11","227","Probe Response, SN=3104, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"128","3.756343","Ubiquiti_3b:5c:ed","b6:4e:29:21:e6:68","802.11","227","Probe Response, SN=3105, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"129","3.764662","Ubiquiti_3b:5c:ed","be:1a:f7:c3:b6:09","802.11","227","Probe Response, SN=3106, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"137","4.053739","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3112, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"138","4.084521","Ubiquiti_3b:5c:ed","5e:c3:78:1c:c8:cd","802.11","227","Probe Response, SN=3113, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"142","4.112314","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3115, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"143","4.135444","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3116, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"144","4.155907","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3117, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"148","4.253633","ArubaaHe_58:77:62","62:17:2d:52:c9:e8","802.11","183","Probe Response, SN=1243, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"149","4.255235","ArubaaHe_58:77:63","62:17:2d:52:c9:e8","802.11","185","Probe Response, SN=106, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"153","4.428719","Ubiquiti_3b:5c:ed","0e:9a:f8:14:6e:bf","802.11","227","Probe Response, SN=3122, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"154","4.446611","Ubiquiti_3b:5c:ed","0e:9a:f8:14:6e:bf","802.11","227","Probe Response, SN=3124, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"158","4.575889","Cisco_2f:15:54","76:b4:2a:4e:e2:8d","802.11","274","Probe Response, SN=1531, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"165","4.736024","Ubiquiti_3b:5c:ed","8e:60:da:a1:12:6e","802.11","227","Probe Response, SN=3130, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"168","4.821677","Ubiquiti_3b:5c:ed","52:8d:1a:4c:44:ea","802.11","227","Probe Response, SN=3133, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"170","4.841143","Ubiquiti_3b:5c:ed","52:8d:1a:4c:44:ea","802.11","227","Probe Response, SN=3134, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"173","4.890190","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3136, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"174","4.898840","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3137, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"176","4.976655","Ubiquiti_3b:5c:ed","8e:1a:49:c3:ed:ff","802.11","227","Probe Response, SN=3139, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"193","5.916408","Ubiquiti_3b:5c:ed","ba:6a:77:61:2e:67","802.11","227","Probe Response, SN=3152, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"195","5.963051","Ubiquiti_3b:5c:ed","ba:6a:77:61:2e:67","802.11","227","Probe Response, SN=3154, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"198","6.012397","Ubiquiti_3b:5c:ed","ba:6a:77:61:2e:67","802.11","227","Probe Response, SN=3155, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"199","6.034615","Ubiquiti_3b:5c:ed","ba:6a:77:61:2e:67","802.11","227","Probe Response, SN=3157, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"201","6.065172","Ubiquiti_3b:5c:ed","3e:87:03:9d:0c:39","802.11","227","Probe Response, SN=3158, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"203","6.096138","Ubiquiti_3b:5c:ed","3e:87:03:9d:0c:39","802.11","227","Probe Response, SN=3159, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"206","6.132854","Ubiquiti_3b:5c:ed","3e:87:03:9d:0c:39","802.11","227","Probe Response, SN=3160, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"208","6.189245","Ubiquiti_3b:5c:ed","3e:87:03:9d:0c:39","802.11","227","Probe Response, SN=3163, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"210","6.198214","Ubiquiti_3b:5c:ed","3e:87:03:9d:0c:39","802.11","227","Probe Response, SN=3164, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"219","6.581749","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3171, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"221","6.614862","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3172, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"222","6.633211","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3173, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"227","6.700941","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3175, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"229","6.721214","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3176, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"230","6.746439","Ubiquiti_3b:5c:ed","66:8b:49:57:ff:a8","802.11","227","Probe Response, SN=3177, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"237","7.092928","Ubiquiti_3b:5c:ed","ae:04:14:aa:a5:2e","802.11","227","Probe Response, SN=3184, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"238","7.109673","Ubiquiti_3b:5c:ed","ae:04:14:aa:a5:2e","802.11","227","Probe Response, SN=3185, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"240","7.142271","Ubiquiti_3b:5c:ed","ae:04:14:aa:a5:2e","802.11","227","Probe Response, SN=3186, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"241","7.159521","Ubiquiti_3b:5c:ed","ae:04:14:aa:a5:2e","802.11","227","Probe Response, SN=3188, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"245","7.282167","Ubiquiti_3b:5c:ed","22:97:b7:5b:bc:42","802.11","227","Probe Response, SN=3191, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"247","7.354986","Ubiquiti_3b:5c:ed","22:97:b7:5b:bc:42","802.11","227","Probe Response, SN=3192, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"249","7.392122","Ubiquiti_3b:5c:ed","22:97:b7:5b:bc:42","802.11","227","Probe Response, SN=3194, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"251","7.439166","Ubiquiti_3b:5c:ed","22:97:b7:5b:bc:42","802.11","227","Probe Response, SN=3195, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"252","7.484222","Ubiquiti_3b:5c:ed","f6:6f:8a:a6:26:ab","802.11","227","Probe Response, SN=3197, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"254","7.514459","Ubiquiti_3b:5c:ed","f6:6f:8a:a6:26:ab","802.11","227","Probe Response, SN=3198, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"257","7.553233","Ubiquiti_3b:5c:ed","f6:6f:8a:a6:26:ab","802.11","227","Probe Response, SN=3200, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"259","7.601705","Ubiquiti_3b:5c:ed","f6:6f:8a:a6:26:ab","802.11","227","Probe Response, SN=3203, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"269","7.969461","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3209, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"272","7.996697","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3211, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"275","8.014482","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3212, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"277","8.047722","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3213, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"278","8.064519","Ubiquiti_3b:5c:ed","5e:66:96:fa:30:85","802.11","227","Probe Response, SN=3214, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"280","8.136146","Ubiquiti_3b:5c:ed","5e:66:96:fa:30:85","802.11","227","Probe Response, SN=3217, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"288","8.513542","Cisco_2f:15:54","c6:91:66:26:74:48","802.11","274","Probe Response, SN=1603, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"290","8.598735","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3224, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"292","8.632981","Ubiquiti_3b:5c:ed","HTC_ec:54:0b","802.11","227","Probe Response, SN=3225, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"299","8.995565","Cisco_2f:15:54","32:95:64:d3:e0:57","802.11","274","Probe Response, SN=1617, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"301","9.011263","ArubaaHe_58:77:63","1e:90:b8:97:ac:bb","802.11","185","Probe Response, SN=130, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"303","9.085372","Ubiquiti_3b:5c:ed","ee:32:2b:62:93:be","802.11","227","Probe Response, SN=3232, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"305","9.134029","Ubiquiti_3b:5c:ed","ee:32:2b:62:93:be","802.11","227","Probe Response, SN=3234, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"309","9.225556","Cisco_2f:15:54","8e:5a:06:a2:2a:7e","802.11","274","Probe Response, SN=1625, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"312","9.331508","Cisco_2f:15:54","8e:5a:06:a2:2a:7e","802.11","274","Probe Response, SN=1629, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"320","9.575480","Ubiquiti_3b:5c:ed","0e:50:97:2f:4e:54","802.11","227","Probe Response, SN=3241, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"321","9.613079","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3242, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"324","9.689519","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3245, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"328","9.719584","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3247, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"331","9.743989","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3248, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"332","9.765663","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=3249, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"334","9.862661","Ubiquiti_3b:5c:ed","ae:8c:5b:8e:1b:01","802.11","227","Probe Response, SN=3252, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"336","9.910701","Ubiquiti_3b:5c:ed","16:cb:51:de:0f:49","802.11","227","Probe Response, SN=3253, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"339","9.958886","Ubiquiti_3b:5c:ed","16:cb:51:de:0f:49","802.11","227","Probe Response, SN=3255, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"341","9.984357","Ubiquiti_3b:5c:ed","16:cb:51:de:0f:49","802.11","227","Probe Response, SN=3256, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"342","10.024814","Ubiquiti_3b:5c:ed","16:cb:51:de:0f:49","802.11","227","Probe Response, SN=3258, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"344","10.054736","Ubiquiti_3b:5c:ed","16:cb:51:de:0f:49","802.11","227","Probe Response, SN=3259, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"349","10.196130","Ubiquiti_3b:5c:ed","56:44:51:c2:25:ae","802.11","227","Probe Response, SN=3262, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"350","10.220926","Ubiquiti_3b:5c:ed","56:44:51:c2:25:ae","802.11","227","Probe Response, SN=3263, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"353","10.246572","Ubiquiti_3b:5c:ed","56:44:51:c2:25:ae","802.11","227","Probe Response, SN=3265, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"354","10.274237","Ubiquiti_3b:5c:ed","56:44:51:c2:25:ae","802.11","227","Probe Response, SN=3267, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"356","10.316811","Ubiquiti_3b:5c:ed","Apple_d9:69:1e","802.11","227","Probe Response, SN=3268, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"359","10.369957","Ubiquiti_3b:5c:ed","Apple_d9:69:1e","802.11","227","Probe Response, SN=3270, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"362","10.461419","Ubiquiti_3b:5c:ed","0a:84:3d:5d:f7:68","802.11","227","Probe Response, SN=3274, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"365","10.603601","Ubiquiti_3b:5c:ed","c2:ae:20:a9:28:dc","802.11","227","Probe Response, SN=3276, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"367","10.632436","Ubiquiti_3b:5c:ed","c2:ae:20:a9:28:dc","802.11","227","Probe Response, SN=3277, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"369","10.654985","Ubiquiti_3b:5c:ed","c2:ae:20:a9:28:dc","802.11","227","Probe Response, SN=3279, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"370","10.680171","Ubiquiti_3b:5c:ed","c2:ae:20:a9:28:dc","802.11","227","Probe Response, SN=3280, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"371","10.738337","Ubiquiti_3b:5c:ed","c2:ae:20:a9:28:dc","802.11","227","Probe Response, SN=3282, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"381","11.192898","Cisco_a0:44:53","7a:37:ca:03:c8:f0","802.11","294","Probe Response, SN=237, FN=0, Flags=....R..., BI=102, SSID=PPL-WIFI"
"382","11.236678","Cisco_2f:15:54","7a:37:ca:03:c8:f0","802.11","274","Probe Response, SN=1700, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"391","11.798182","Ubiquiti_3b:5c:ed","be:25:8a:3c:c5:73","802.11","227","Probe Response, SN=3298, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"393","11.845233","Ubiquiti_3b:5c:ed","be:25:8a:3c:c5:73","802.11","227","Probe Response, SN=3300, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"395","11.933396","Ubiquiti_3b:5c:ed","66:60:ca:8b:e1:61","802.11","227","Probe Response, SN=3302, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"396","11.968779","Cisco_2f:15:54","5e:29:fc:b5:58:e0","802.11","274","Probe Response, SN=1725, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
"398","12.023795","Ubiquiti_3b:5c:ed","fa:61:dd:aa:28:88","802.11","227","Probe Response, SN=3304, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"403","12.144379","ArubaaHe_58:77:62","9a:57:bb:52:36:c0","802.11","183","Probe Response, SN=1289, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"404","12.165890","ArubaaHe_58:77:62","9a:57:bb:52:36:c0","802.11","183","Probe Response, SN=1290, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"405","12.167462","ArubaaHe_58:77:63","9a:57:bb:52:36:c0","802.11","185","Probe Response, SN=153, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"412","12.519829","Ubiquiti_3b:5c:ed","de:5b:e7:3e:11:29","802.11","227","Probe Response, SN=3311, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"414","12.569983","Ubiquiti_3b:5c:ed","de:5b:e7:3e:11:29","802.11","227","Probe Response, SN=3313, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"415","12.595569","Ubiquiti_3b:5c:ed","de:5b:e7:3e:11:29","802.11","227","Probe Response, SN=3315, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"416","12.613785","Ubiquiti_3b:5c:ed","de:5b:e7:3e:11:29","802.11","227","Probe Response, SN=3316, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"418","12.654483","Ubiquiti_3b:5c:ed","de:5b:e7:3e:11:29","802.11","227","Probe Response, SN=3317, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"427","13.070709","Ubiquiti_3b:5c:ed","42:fc:46:47:46:16","802.11","227","Probe Response, SN=3324, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"432","13.213235","Ubiquiti_3b:5c:ed","42:24:60:c8:8b:75","802.11","227","Probe Response, SN=3329, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"437","13.348320","Ubiquiti_3b:5c:ed","42:24:60:c8:8b:75","802.11","227","Probe Response, SN=3332, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"460","14.238785","Ubiquiti_3b:5c:ed","a2:be:e5:f9:d1:9a","802.11","227","Probe Response, SN=3344, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"464","14.398111","Ubiquiti_3b:5c:ed","fe:c9:1d:83:7c:f5","802.11","227","Probe Response, SN=3347, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"469","14.554786","Cisco_ca:77:06","72:09:72:3a:ad:81","802.11","274","Probe Response, SN=2868, FN=0, Flags=....R..., BI=102, SSID=CHOPIN-AIRPORT"
