"No.","Time","Source","Destination","Protocol","Length","Info"
"17172","496.648058","Ubiquiti_3b:5c:ed","76:56:d2:d7:de:90","802.11","227","Probe Response, SN=2537, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17173","496.676878","Ubiquiti_3b:5c:ed","16:61:ba:24:ba:8b","802.11","227","Probe Response, SN=2538, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17176","496.683573","Ubiquiti_3b:5c:ed","66:35:95:b2:1d:d8","802.11","227","Probe Response, SN=2539, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17178","496.736804","Ubiquiti_3b:5c:ed","16:61:ba:24:ba:8b","802.11","227","Probe Response, SN=2542, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17179","496.753411","Ubiquiti_3b:5c:ed","66:35:95:b2:1d:d8","802.11","227","Probe Response, SN=2543, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17182","496.795712","Ubiquiti_3b:5c:ed","16:61:ba:24:ba:8b","802.11","227","Probe Response, SN=2544, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17183","496.831002","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2546, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17185","496.855809","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2547, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17187","496.890768","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2548, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17189","496.899266","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2549, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17191","496.918996","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2550, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17193","496.962990","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2552, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17200","497.144007","Ubiquiti_3b:5c:ed","92:28:5c:f2:81:8b","802.11","227","Probe Response, SN=2555, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17201","497.166609","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2556, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17205","497.198310","Ubiquiti_3b:5c:ed","92:28:5c:f2:81:8b","802.11","227","Probe Response, SN=2557, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17208","497.221280","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2558, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17209","497.223573","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2559, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17212","497.287777","Ubiquiti_3b:5c:ed","3e:c9:a4:b0:4f:1a","802.11","227","Probe Response, SN=2561, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17214","497.342837","Ubiquiti_3b:5c:ed","3e:c9:a4:b0:4f:1a","802.11","227","Probe Response, SN=2563, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17216","497.388732","Ubiquiti_3b:5c:ed","7a:f1:19:32:4c:31","802.11","227","Probe Response, SN=2564, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17219","497.437106","Ubiquiti_3b:5c:ed","7a:f1:19:32:4c:31","802.11","227","Probe Response, SN=2565, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17220","497.480036","Ubiquiti_3b:5c:ed","7a:f1:19:32:4c:31","802.11","227","Probe Response, SN=2567, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17222","497.547358","Ubiquiti_3b:5c:ed","ea:9e:14:84:af:09","802.11","227","Probe Response, SN=2569, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17224","497.553570","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2570, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17225","497.555606","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2571, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17226","497.573234","Ubiquiti_3b:5c:ed","8a:26:db:7e:1d:54","802.11","227","Probe Response, SN=2572, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17227","497.576949","Ubiquiti_3b:5c:ed","ea:9e:14:84:af:09","802.11","227","Probe Response, SN=2573, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17228","497.593028","Ubiquiti_3b:5c:ed","ea:9e:14:84:af:09","802.11","227","Probe Response, SN=2574, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17232","497.652359","Ubiquiti_3b:5c:ed","72:22:24:67:b9:0e","802.11","227","Probe Response, SN=2576, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17233","497.675148","Ubiquiti_3b:5c:ed","72:22:24:67:b9:0e","802.11","227","Probe Response, SN=2577, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17238","497.763990","Ubiquiti_3b:5c:ed","72:22:24:67:b9:0e","802.11","227","Probe Response, SN=2579, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17243","497.902586","Ubiquiti_3b:5c:ed","86:26:bc:31:46:e6","802.11","227","Probe Response, SN=2583, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
